"Object","Close_Approach_CA_Date","CA_Distance_Nominal_km","CA_Distance_Minimum_km","V_relative_km/s","V_infinity_km/s","H_mag","Diameter","Rarity"
"(2022 UD6)","2022-Oct-18 00:07 ± < 00:01","6992399","6933377","7.23","7.22","26.2","15 m -   34 m","0"
"(2022 UL10)","2022-Oct-18 01:45 ± < 00:01","6816551","6752978","8.82","8.82","26.2","15 m -   34 m","0"
"(2022 UJ1)","2022-Oct-18 05:21 ± < 00:01","2745971","2731925","4.50","4.47","27.9","7.0 m -   16 m","0"
"(2022 UM)","2022-Oct-18 06:17 ±    00:02","2353718","2346299","10.70","10.68","26.9","11 m -   25 m","0"
"(2022 UK1)","2022-Oct-18 06:59 ± < 00:01","5125940","5108731","11.43","11.43","24.5","34 m -   75 m","0"
"(2022 US)","2022-Oct-18 09:33 ± < 00:01","7162053","7158734","5.50","5.49","24.6","32 m -   70 m","0"
"(2022 UO10)","2022-Oct-18 10:55 ± < 00:01","4089877","4059028","9.42","9.41","26.8","12 m -   26 m","0"
"(2022 UB)","2022-Oct-18 12:31 ± < 00:01","3926954","3911704","7.84","7.83","26.7","12 m -   27 m","0"
"(2022 UX2)","2022-Oct-18 14:58 ± < 00:01","4748930","4736850","4.31","4.29","27.1","10 m -   22 m","0"
"(2022 UU12)","2022-Oct-18 18:53 ±    00:01","4901026","4829342","7.77","7.76","25.5","21 m -   47 m","0"
"(2022 UV4)","2022-Oct-18 21:22 ± < 00:01","387072","386860","5.80","5.62","28.8","4.6 m -   10 m","0"
"(2022 UY2)","2022-Oct-18 22:48 ±    00:02","3485501","3470482","6.56","6.55","25.7","19 m -   42 m","0"
"(2022 UR14)","2022-Oct-19 00:09 ±    00:08","3121313","3079097","9.89","9.87","26.7","12 m -   27 m","0"
"(2022 UT1)","2022-Oct-19 03:22 ±    00:03","6366516","6182334","14.89","14.89","26.6","12 m -   28 m","0"
"(2022 UA)","2022-Oct-19 09:56 ± < 00:01","3357494","3347307","13.08","13.07","27.1","10 m -   23 m","0"
"(2022 SF63)","2022-Oct-19 16:12 ± < 00:01","2120965","2118377","3.89","3.84","27.7","7.5 m -   17 m","0"
"(2022 UE)","2022-Oct-19 16:18 ± < 00:01","1440058","1436878","5.45","5.40","26.6","13 m -   29 m","0"
"(2022 UO13)","2022-Oct-19 21:49 ±    00:16","2138806","2108370","11.29","11.28","27.8","7.5 m -   17 m","0"
"(2022 UC11)","2022-Oct-20 01:54 ± < 00:01","5509960","5468412","8.14","8.13","26.1","16 m -   36 m","0"
"(2022 TS2)","2022-Oct-20 01:57 ± < 00:01","2274870","2269277","14.30","14.29","24.6","33 m -   73 m","0"
"(2022 UG)","2022-Oct-20 02:53 ± < 00:01","1387163","1385030","9.25","9.22","26.2","15 m -   34 m","0"
"(2022 UD1)","2022-Oct-20 03:08 ± < 00:01","1713017","1709798","5.04","4.99","28.2","6.2 m -   14 m","0"
"(2022 UB21)","2022-Oct-20 06:11 ±    00:07","5619186","5434915","5.95","5.94","27.8","7.3 m -   16 m","0"
"(2022 UQ6)","2022-Oct-20 08:39 ± < 00:01","404720","404297","9.78","9.68","29.1","4.0 m -  8.9 m","0"
"(2022 UM7)","2022-Oct-20 10:15 ± < 00:01","2578505","2577763","8.67","8.65","27.2","9.8 m -   22 m","0"
"(2022 UO1)","2022-Oct-20 10:27 ± < 00:01","6483777","6407190","14.59","14.59","25.2","24 m -   54 m","0"
"(2022 UL)","2022-Oct-20 11:11 ± < 00:01","2576100","2567240","10.38","10.37","26.5","13 m -   30 m","0"
"(2022 UA6)","2022-Oct-20 12:32 ± < 00:01","493576","493082","11.87","11.80","28.1","6.5 m -   15 m","0"
"(2022 UN9)","2022-Oct-20 14:07 ± < 00:01","5382285","5339583","16.83","16.82","24.9","28 m -   62 m","0"
"(2022 US5)","2022-Oct-20 20:00 ± < 00:01","3233384","3213734","8.52","8.51","26.6","12 m -   28 m","0"
"(2022 UR4)","2022-Oct-20 22:45 ± < 00:01","17045","17043","15.22","13.60","28.9","4.4 m -  9.7 m","2"
"(2022 UW11)","2022-Oct-21 00:58 ± < 00:01","1487825","1483997","7.01","6.97","26.4","14 m -   31 m","0"
"(2022 UL9)","2022-Oct-21 04:17 ± < 00:01","6521748","6516259","19.22","19.21","21.9","110 m -  240 m","1"
"(2022 US1)","2022-Oct-21 04:30 ± < 00:01","4494169","4476400","8.87","8.86","27.1","10 m -   23 m","0"
"(2022 UZ12)","2022-Oct-21 05:13 ±    00:03","2882145","2862695","7.83","7.81","27.5","8.4 m -   19 m","0"
"(2022 UN8)","2022-Oct-21 05:28 ± < 00:01","2702953","2694468","11.36","11.35","26.6","12 m -   28 m","0"
"(2022 TT2)","2022-Oct-21 09:28 ± < 00:01","2583700","2576245","12.06","12.05","25.0","26 m -   59 m","0"
"(2022 UG2)","2022-Oct-21 09:32 ± < 00:01","621035","619991","10.53","10.47","26.9","11 m -   25 m","0"
"(2022 UM4)","2022-Oct-21 11:18 ± < 00:01","2063882","2058443","14.90","14.89","24.4","34 m -   77 m","1"
"(2022 UN11)","2022-Oct-21 14:15 ± < 00:01","2027854","2020157","7.73","7.70","27.2","9.7 m -   22 m","0"
"(2022 UE9)","2022-Oct-21 17:55 ±    00:02","465271","460727","16.64","16.59","26.2","15 m -   34 m","1"
"(2022 UC1)","2022-Oct-21 22:47 ± < 00:01","545171","545147","6.77","6.66","26.3","14 m -   32 m","1"
"(2022 UW3)","2022-Oct-21 23:01 ± < 00:01","3083957","3071118","19.73","19.72","23.4","56 m -  120 m","1"
"(2022 UQ9)","2022-Oct-21 23:26 ± < 00:01","650829","647828","9.73","9.67","26.4","14 m -   31 m","0"
"(2022 UQ7)","2022-Oct-22 00:03 ± < 00:01","789093","788801","22.98","22.96","26.5","14 m -   30 m","0"
"(2022 UG28)","2022-Oct-22 03:30 ±    00:12","4204298","4143742","10.19","10.18","26.3","15 m -   33 m","0"
"(2022 UM12)","2022-Oct-22 06:58 ± < 00:01","6716237","6658724","8.82","8.81","25.3","24 m -   53 m","0"
"(2022 UN20)","2022-Oct-22 08:07 ± < 00:01","4113887","4085183","8.02","8.01","27.5","8.4 m -   19 m","0"
"(2022 UC13)","2022-Oct-22 10:11 ±    00:07","4134969","4094285","7.52","7.51","27.6","8.0 m -   18 m","0"
"(2022 UT)","2022-Oct-22 12:27 ± < 00:01","2109563","2105122","12.23","12.22","26.4","14 m -   32 m","0"
"(2022 WK)","2022-Oct-22 13:35 ±    00:03","4688155","4679453","5.49","5.47","23.5","53 m -  120 m","0"
"(2022 UV12)","2022-Oct-22 16:15 ±    00:04","5819556","5777081","9.89","9.89","25.6","20 m -   44 m","0"
"(2022 RB5)","2022-Oct-22 16:59 ± < 00:01","4998848","4998822","5.32","5.31","22.5","85 m -  190 m","1"
"(2022 UO40)","2022-Oct-22 18:41 ± < 00:01","2451850","2428940","8.56","8.54","27.2","9.7 m -   22 m","0"
"(2022 UR10)","2022-Oct-22 19:00 ± < 00:01","1500057","1495227","8.81","8.78","28.2","6.1 m -   14 m","0"
"(2022 UU123)","2022-Oct-22 19:15 ± < 00:01","248176","247280","8.18","7.98","30.5","2.1 m -  4.6 m","0"
"(2022 UY5)","2022-Oct-22 21:41 ± < 00:01","228842","228835","7.91","7.69","27.3","9.4 m -   21 m","1"
"(2022 UZ27)","2022-Oct-23 04:42 ±    00:07","5876359","5666169","16.32","16.32","25.3","23 m -   51 m","0"
"(2022 UN12)","2022-Oct-23 08:40 ± < 00:01","4493226","4491964","10.87","10.86","25.0","26 m -   59 m","0"
"(2022 UM11)","2022-Oct-23 17:07 ± < 00:01","3007333","3002655","10.19","10.17","24.6","32 m -   70 m","0"
"(2022 UH9)","2022-Oct-23 18:45 ± < 00:01","3944663","3924362","17.40","17.39","23.7","48 m -  110 m","0"
"(2022 UY12)","2022-Oct-23 19:11 ±    00:01","716518","711272","16.44","16.41","28.6","5.1 m -   11 m","0"
"(2022 UK9)","2022-Oct-24 00:26 ± < 00:01","3305232","3294726","7.01","7.00","27.2","9.8 m -   22 m","0"
"(2022 UC2)","2022-Oct-24 00:33 ± < 00:01","5313118","5255063","8.05","8.04","26.7","12 m -   27 m","0"
"(2022 UV10)","2022-Oct-24 02:15 ± < 00:01","347313","346751","9.14","9.01","28.1","6.3 m -   14 m","0"
"(2022 UC7)","2022-Oct-24 02:45 ± < 00:01","347612","347176","10.02","9.91","27.7","7.7 m -   17 m","0"
"(2022 UQ40)","2022-Oct-24 02:48 ± < 00:01","94700","94525","8.97","8.49","28.3","5.8 m -   13 m","1"
"(2022 UP11)","2022-Oct-24 04:35 ± < 00:01","3259990","3236148","19.18","19.17","26.4","14 m -   31 m","0"
"(2022 UX10)","2022-Oct-24 07:03 ± < 00:01","4209230","4180261","13.34","13.33","25.8","18 m -   41 m","0"
"(2022 UQ8)","2022-Oct-24 07:11 ± < 00:01","4364995","4363545","1.17","1.08","28.2","6.1 m -   14 m","0"
"(2022 UV7)","2022-Oct-24 09:30 ± < 00:01","244262","243959","12.56","12.43","29.5","3.3 m -  7.5 m","0"
"(2022 UD7)","2022-Oct-24 09:40 ± < 00:01","1247908","1246128","14.42","14.40","25.9","18 m -   40 m","0"
"(2022 UH2)","2022-Oct-24 16:01 ± < 00:01","2185106","2180262","11.93","11.91","27.4","8.9 m -   20 m","0"
"(2022 UC8)","2022-Oct-24 17:40 ± < 00:01","489326","489124","9.73","9.65","27.9","6.9 m -   15 m","0"
"(2005 AZ28)","2022-Oct-24 18:56 ± < 00:01","4393589","4393532","5.42","5.41","24.3","36 m -   81 m","0"
"(2022 UP12)","2022-Oct-25 02:05 ± < 00:01","864294","861092","10.17","10.12","26.4","14 m -   31 m","0"
"(2022 UY1)","2022-Oct-25 05:18 ± < 00:01","6864244","6805258","9.29","9.28","25.6","21 m -   46 m","0"
"(2022 UC3)","2022-Oct-25 06:27 ± < 00:01","3846191","3812324","8.41","8.40","27.6","8.2 m -   18 m","0"
"(2022 US10)","2022-Oct-25 06:35 ± < 00:01","1293512","1291572","13.90","13.88","26.4","14 m -   31 m","0"
"(2022 VB)","2022-Oct-25 06:56 ±    00:01","6881328","6843216","10.97","10.96","25.4","22 m -   49 m","0"
"(2022 UP21)","2022-Oct-25 07:39 ±    00:01","5895861","5859865","5.53","5.52","26.3","15 m -   33 m","0"
"(2022 UU2)","2022-Oct-25 20:39 ± < 00:01","1039418","1037946","12.73","12.70","27.3","9.3 m -   21 m","0"
"(2016 TH94)","2022-Oct-25 21:45 ± < 00:01","7305599","7305559","13.53","13.53","24.6","32 m -   72 m","0"
"(2022 TY)","2022-Oct-25 22:05 ±    00:01","5764680","5713872","5.06","5.04","26.1","16 m -   36 m","0"
"(2022 UQ12)","2022-Oct-25 22:15 ± < 00:01","2532378","2522437","7.73","7.71","27.4","9.0 m -   20 m","0"
"(2022 UY27)","2022-Oct-26 02:11 ± < 00:01","2051005","2037838","9.78","9.76","28.1","6.3 m -   14 m","0"
"(2022 UF9)","2022-Oct-26 06:10 ± < 00:01","1074475","1073185","6.54","6.48","28.1","6.3 m -   14 m","0"
"(2022 UL11)","2022-Oct-26 08:29 ± < 00:01","468316","467898","8.93","8.84","29.1","3.9 m -  8.8 m","0"
"(2022 UW21)","2022-Oct-26 09:35 ±    00:02","1780271","1776321","9.53","9.51","27.5","8.3 m -   19 m","0"
"(2022 UV2)","2022-Oct-26 10:26 ± < 00:01","571165","570514","5.82","5.70","28.1","6.2 m -   14 m","0"
"(2022 UC14)","2022-Oct-26 11:06 ±    00:02","224762","224393","6.53","6.25","29.7","3.1 m -  6.9 m","0"
"(2022 UU1)","2022-Oct-26 11:22 ± < 00:01","4153922","4138485","7.19","7.18","26.2","15 m -   34 m","0"
"(2022 UV5)","2022-Oct-26 12:12 ± < 00:01","4288472","4254122","7.10","7.09","25.7","19 m -   42 m","0"
"(2022 UV9)","2022-Oct-26 13:42 ± < 00:01","1003856","999467","16.48","16.45","27.8","7.3 m -   16 m","0"
"(2022 UX14)","2022-Oct-26 18:54 ±    00:02","644018","640559","13.46","13.41","29.1","4.1 m -  9.2 m","0"
"(2022 UO20)","2022-Oct-26 21:06 ± < 00:01","3754696","3742897","4.49","4.47","27.9","7.2 m -   16 m","0"
"(2022 UA13)","2022-Oct-26 21:23 ± < 00:01","512885","512383","15.52","15.47","26.4","14 m -   32 m","1"
"(2022 UQ13)","2022-Oct-27 00:29 ± < 00:01","2097925","2093950","6.16","6.12","26.4","14 m -   31 m","0"
"(2022 UV21)","2022-Oct-27 07:13 ± < 00:01","3384886","3358539","9.17","9.16","26.8","12 m -   26 m","0"
"(2022 UF4)","2022-Oct-27 10:10 ± < 00:01","4497202","4495828","13.22","13.21","24.5","33 m -   73 m","0"
"(2022 UB8)","2022-Oct-27 13:37 ± < 00:01","854743","853511","19.00","18.98","27.4","8.7 m -   19 m","0"
"(2022 UA10)","2022-Oct-27 16:49 ± < 00:01","4582476","4565756","8.11","8.10","24.1","41 m -   92 m","0"
"(2022 UW14)","2022-Oct-27 17:15 ± < 00:01","273631","273441","8.60","8.43","28.8","4.7 m -   11 m","0"
"(2022 UB13)","2022-Oct-27 20:44 ± < 00:01","312559","312416","7.44","7.27","29.9","2.8 m -  6.2 m","0"
"(2022 UU63)","2022-Oct-27 21:01 ± < 00:01","75683","75464","12.93","12.52","31.0","1.7 m -  3.7 m","0"
"(2022 UA14)","2022-Oct-27 22:49 ± < 00:01","326293","326189","11.59","11.48","28.3","5.7 m -   13 m","0"
"(2022 UL16)","2022-Oct-27 23:21 ± < 00:01","5647688","5635964","27.62","27.61","22.6","82 m -  180 m","1"
"(2022 UB22)","2022-Oct-28 00:33 ± < 00:01","6880841","6680456","19.24","19.23","24.1","40 m -   89 m","0"
"(2022 UT5)","2022-Oct-28 03:36 ± < 00:01","2684358","2674649","9.38","9.36","26.3","15 m -   33 m","0"
"(2022 UM3)","2022-Oct-28 03:38 ±    00:05","3323210","3309525","7.55","7.53","27.3","9.3 m -   21 m","0"
"(2022 UD14)","2022-Oct-28 08:00 ± < 00:01","5031029","5028939","12.92","12.92","22.3","94 m -  210 m","1"
"(2022 UO28)","2022-Oct-28 11:36 ± < 00:01","399949","398638","12.34","12.26","27.9","6.8 m -   15 m","0"
"(2022 UD3)","2022-Oct-28 21:24 ± < 00:01","3198022","3189743","6.50","6.48","26.0","16 m -   37 m","0"
"(2022 VH)","2022-Oct-28 22:42 ±    00:10","326659","326038","13.80","13.71","26.4","14 m -   31 m","1"
"(2022 UV15)","2022-Oct-29 02:00 ± < 00:01","581435","581145","11.29","11.23","26.0","17 m -   38 m","1"
"(2022 UM20)","2022-Oct-29 04:23 ± < 00:01","7271285","7233323","11.32","11.31","24.7","31 m -   68 m","0"
"(2004 UT1)","2022-Oct-29 07:55 ± < 00:01","1494475","1494440","6.35","6.31","26.7","12 m -   27 m","0"
"(2022 UW16)","2022-Oct-29 10:15 ±    00:03","38531","38402","12.32","11.45","28.9","4.4 m -  9.9 m","1"
"(2022 VE1)","2022-Oct-29 13:57 ±    00:02","4977317","4949954","16.13","16.13","24.4","36 m -   79 m","0"
"(2022 UO12)","2022-Oct-29 15:13 ± < 00:01","486366","485134","16.39","16.34","28.4","5.6 m -   13 m","0"
"(2022 UT16)","2022-Oct-29 18:54 ± < 00:01","1305171","1303593","8.15","8.11","26.9","11 m -   24 m","0"
"(2022 UN16)","2022-Oct-29 22:09 ± < 00:01","4641006","4627711","6.50","6.49","25.8","18 m -   40 m","0"
"(2023 GT1)","2022-Oct-30 01:23 ±    01:21","7098700","7073150","2.78","2.76","28.3","5.9 m -   13 m","0"
"(2022 UW6)","2022-Oct-30 03:02 ± < 00:01","4344190","4339109","4.07","4.05","25.6","21 m -   46 m","0"
"(2022 US20)","2022-Oct-30 03:16 ± < 00:01","1931781","1927882","7.79","7.77","25.8","19 m -   42 m","0"
"(2022 UU8)","2022-Oct-30 04:53 ± < 00:01","582452","582244","4.52","4.37","28.0","6.8 m -   15 m","0"
"(2022 UR11)","2022-Oct-30 10:38 ±    00:04","1797581","1786335","12.83","12.81","27.9","7.1 m -   16 m","0"
"(2022 UU10)","2022-Oct-30 11:06 ± < 00:01","2316348","2310137","4.27","4.23","27.7","7.7 m -   17 m","0"
"(2022 UW15)","2022-Oct-30 11:44 ± < 00:01","120559","120386","7.90","7.47","30.2","2.5 m -  5.5 m","0"
"(2022 UT10)","2022-Oct-30 13:13 ± < 00:01","1878678","1875798","4.47","4.42","26.8","12 m -   27 m","0"
"(2022 UX27)","2022-Oct-30 13:42 ± < 00:01","409967","409225","15.35","15.28","27.6","8.1 m -   18 m","0"
"(2022 UU9)","2022-Oct-30 14:00 ± < 00:01","2340954","2330490","11.99","11.98","27.5","8.5 m -   19 m","0"
"(2022 UG16)","2022-Oct-30 14:40 ± < 00:01","1626797","1614717","10.10","10.07","25.3","23 m -   52 m","0"
"(2022 UD13)","2022-Oct-30 21:09 ± < 00:01","746897","744824","12.78","12.74","26.4","14 m -   31 m","0"
"(2022 UD11)","2022-Oct-30 23:08 ± < 00:01","4005156","3986390","15.84","15.84","24.9","28 m -   63 m","0"
"(2022 UA21)","2022-Oct-31 00:14 ± < 00:01","453131","453050","4.41","4.21","29.1","3.9 m -  8.8 m","0"
"(2022 UP13)","2022-Oct-31 01:13 ± < 00:01","6683713","6598774","8.12","8.11","25.2","24 m -   53 m","0"
"(2017 VD15)","2022-Oct-31 02:45 ± < 00:01","5382242","5382220","5.33","5.32","25.7","19 m -   43 m","0"
"(2022 UW10)","2022-Oct-31 03:13 ± < 00:01","1671830","1669030","6.70","6.66","26.1","16 m -   35 m","0"
"(2022 VJ)","2022-Oct-31 04:50 ± < 00:01","5722181","5704037","8.12","8.11","25.1","25 m -   56 m","0"
"(2022 UO11)","2022-Oct-31 10:03 ± < 00:01","4203118","4175186","8.73","8.72","26.5","13 m -   30 m","0"
"(2022 UF11)","2022-Oct-31 11:24 ± < 00:01","1009552","1003411","7.92","7.87","28.2","6.0 m -   13 m","0"
"(2022 UN28)","2022-Oct-31 11:33 ± < 00:01","1745267","1733803","13.17","13.16","27.2","9.7 m -   22 m","0"
"(2022 UB14)","2022-Oct-31 11:44 ± < 00:01","1358268","1353787","10.60","10.57","27.5","8.5 m -   19 m","0"
"(2022 VG)","2022-Oct-31 14:23 ±    00:01","747747","746491","9.37","9.31","27.7","7.6 m -   17 m","0"
"(2022 VY1)","2022-Oct-31 16:12 ±    00:02","6912854","6900918","16.69","16.69","22.4","88 m -  200 m","0"
"(2022 UK24)","2022-Oct-31 16:42 ± < 00:01","376309","375859","15.99","15.92","28.1","6.3 m -   14 m","0"
"(2022 VF)","2022-Oct-31 17:42 ± < 00:01","463641","463350","6.48","6.35","27.9","7.1 m -   16 m","0"
"(2022 UX20)","2022-Oct-31 18:15 ± < 00:01","1834824","1823470","12.30","12.28","27.6","8.1 m -   18 m","0"
"(2022 VG1)","2022-Oct-31 20:59 ±    00:02","179674","179354","12.03","11.84","28.9","4.4 m -  9.9 m","0"
"(2021 VH)","2022-Nov-01 02:30 ±    00:04","2266821","2245137","5.25","5.22","29.6","3.2 m -  7.1 m","0"
"(2022 UT14)","2022-Nov-01 03:22 ± < 00:01","1130823","1125877","17.79","17.77","26.9","11 m -   25 m","0"
"(2022 RM4)","2022-Nov-01 18:26 ± < 00:01","2297320","2297301","23.48","23.47","19.6","320 m -  720 m","2"
"(2022 UA28)","2022-Nov-01 18:33 ± < 00:01","2781451","2770401","9.36","9.34","27.5","8.6 m -   19 m","0"
"(2022 UR16)","2022-Nov-01 21:42 ± < 00:01","5205323","5191285","9.15","9.14","25.6","20 m -   44 m","0"
"(2022 UY24)","2022-Nov-01 23:09 ± < 00:01","5806401","5780893","7.01","7.00","25.3","23 m -   51 m","0"
"(2022 UD21)","2022-Nov-02 09:39 ± < 00:01","4121604","4113044","11.61","11.60","25.6","20 m -   45 m","0"
"(2022 UU21)","2022-Nov-02 11:07 ± < 00:01","1577649","1562113","9.93","9.91","28.3","5.8 m -   13 m","0"
"(2022 UZ5)","2022-Nov-02 20:15 ± < 00:01","1742038","1736271","9.42","9.39","24.4","35 m -   78 m","1"
"(2022 UP17)","2022-Nov-03 02:23 ± < 00:01","613126","611918","19.26","19.22","27.4","9.0 m -   20 m","0"
"(2022 WV2)","2022-Nov-03 06:57 ± < 00:01","3618682","3613042","20.19","20.18","24.9","28 m -   63 m","0"
"(2022 VD)","2022-Nov-03 09:16 ± < 00:01","698337","697622","8.38","8.31","28.9","4.3 m -  9.6 m","0"
"(2022 UZ8)","2022-Nov-03 16:39 ±    00:02","4916319","4885655","10.39","10.38","26.0","17 m -   38 m","0"
"(2022 VQ1)","2022-Nov-03 23:36 ±    00:02","588609","586828","10.60","10.54","25.9","17 m -   39 m","1"
"(2022 UN5)","2022-Nov-04 10:33 ± < 00:01","5641822","5617453","8.20","8.19","25.1","25 m -   56 m","0"
"(2022 UB9)","2022-Nov-04 11:28 ± < 00:01","6289703","6259559","6.52","6.51","26.5","13 m -   30 m","0"
"(2022 VC2)","2022-Nov-04 16:15 ± < 00:01","2304460","2258470","11.60","11.58","24.5","34 m -   76 m","0"
"(2022 UQ20)","2022-Nov-04 16:51 ±    00:06","1191168","1186598","8.32","8.28","27.3","9.0 m -   20 m","0"
"(2022 VC)","2022-Nov-04 18:25 ± < 00:01","2770080","2762913","9.88","9.87","26.6","13 m -   28 m","0"
"(2022 UL6)","2022-Nov-04 22:56 ± < 00:01","6729342","6726773","4.38","4.37","24.6","32 m -   70 m","0"
"(2022 UB16)","2022-Nov-05 02:16 ±    00:02","2887460","2870614","19.74","19.74","24.6","33 m -   73 m","0"
"(2022 UK10)","2022-Nov-05 06:29 ±    00:02","5895580","5868015","11.76","11.76","25.7","20 m -   44 m","0"
"(2022 UM21)","2022-Nov-05 19:39 ±    00:02","3914594","3863212","14.34","14.33","26.6","13 m -   29 m","0"
"(2022 UM16)","2022-Nov-05 19:46 ± < 00:01","4527444","4512259","15.80","15.79","23.6","52 m -  120 m","0"
"(2022 UY14)","2022-Nov-06 13:29 ± < 00:01","3388240","3356214","19.81","19.80","25.1","25 m -   56 m","0"
"(2022 UC34)","2022-Nov-06 13:32 ± < 00:01","655465","654078","10.93","10.87","28.4","5.6 m -   12 m","0"
"(2022 UO6)","2022-Nov-06 20:02 ±    00:03","4394762","4361221","11.48","11.48","24.9","28 m -   63 m","0"
"(2022 VA)","2022-Nov-06 23:42 ± < 00:01","3123557","3119378","12.33","12.32","25.8","18 m -   40 m","0"
"(2022 UC22)","2022-Nov-07 03:56 ± < 00:01","7001912","7001642","17.37","17.36","21.2","150 m -  350 m","1"
"(2022 UN21)","2022-Nov-07 07:52 ± < 00:01","3076181","3066740","11.06","11.04","26.5","13 m -   30 m","0"
"(2022 WC4)","2022-Nov-07 18:37 ±    00:04","5577920","5559808","13.68","13.67","26.3","15 m -   33 m","0"
"(2022 US6)","2022-Nov-07 19:55 ± < 00:01","3733009","3717395","7.17","7.15","26.3","15 m -   33 m","0"
"(2022 UR21)","2022-Nov-07 21:14 ± < 00:01","3277581","3261640","9.78","9.77","26.5","13 m -   30 m","0"
"(2022 WU1)","2022-Nov-07 22:52 ± < 00:01","3574953","3528539","12.43","12.42","26.3","15 m -   33 m","0"
"(2022 VY)","2022-Nov-08 01:29 ± < 00:01","1179726","1176333","9.95","9.92","27.8","7.3 m -   16 m","0"
"(2022 UK5)","2022-Nov-08 10:16 ± < 00:01","5478198","5477624","5.19","5.18","24.6","32 m -   72 m","0"
"(2020 WD)","2022-Nov-08 13:04 ± 8_13:41","1151973","538125","5.95","5.89","28.2","6.1 m -   14 m","0"
"(2022 UC5)","2022-Nov-08 19:17 ± < 00:01","2327476","2323856","12.94","12.93","24.9","28 m -   62 m","0"
"(2022 VA2)","2022-Nov-08 22:18 ± < 00:01","4947900","4935137","7.96","7.95","25.3","23 m -   51 m","0"
"(2022 WY1)","2022-Nov-09 06:19 ±    00:05","2376737","2357906","8.34","8.32","25.9","18 m -   40 m","0"
"(2022 WA1)","2022-Nov-09 10:21 ±    00:14","2151010","2133329","9.39","9.37","27.4","9.0 m -   20 m","0"
"(2022 VD2)","2022-Nov-09 16:45 ± < 00:01","5871875","5841013","6.95","6.94","25.8","19 m -   42 m","0"
"(2022 UV20)","2022-Nov-09 19:22 ± < 00:01","2957033","2935397","8.41","8.39","26.2","15 m -   34 m","0"
"(2022 VT1)","2022-Nov-10 08:48 ± < 00:01","6308298","6269997","9.10","9.09","25.6","20 m -   45 m","0"
"(2019 XS)","2022-Nov-10 18:24 ± < 00:01","6406260","6406239","11.87","11.86","23.9","45 m -  100 m","0"
"(2022 VN1)","2022-Nov-10 19:28 ± < 00:01","1049935","1048854","11.87","11.83","25.1","26 m -   58 m","1"
"(2022 VM1)","2022-Nov-11 00:28 ± < 00:01","2293268","2285483","13.91","13.90","26.4","14 m -   31 m","0"
"(2022 VZ1)","2022-Nov-11 08:59 ± < 00:01","5413145","5404009","15.09","15.09","23.3","57 m -  130 m","0"
"(2022 VP)","2022-Nov-11 11:05 ±    00:02","3092991","3078420","5.05","5.02","26.4","14 m -   32 m","0"
"(2022 VO1)","2022-Nov-11 13:17 ± < 00:01","1350902","1348230","5.96","5.91","26.9","11 m -   25 m","0"
"(2022 WF1)","2022-Nov-11 20:42 ± < 00:01","6861949","6855111","13.26","13.25","24.5","33 m -   75 m","0"
"(2022 WF)","2022-Nov-11 21:42 ±    00:01","1449656","1444202","11.02","10.99","25.1","25 m -   55 m","1"
"(2022 UV14)","2022-Nov-11 22:47 ± < 00:01","4139929","4106195","7.65","7.63","26.4","14 m -   30 m","0"
"(2020 FC4)","2022-Nov-12 09:54 ± < 00:01","7400819","7400370","13.33","13.33","23.1","65 m -  150 m","0"
"(2022 WK3)","2022-Nov-12 17:34 ±    00:03","3123601","3110941","5.50","5.48","27.0","11 m -   24 m","0"
"(2022 WJ)","2022-Nov-12 18:36 ± < 00:01","3186039","3169304","10.99","10.97","27.0","10 m -   23 m","0"
"(2022 WD5)","2022-Nov-13 00:53 ±    00:56","3610173","3523060","9.44","9.42","27.5","8.4 m -   19 m","0"
"(2022 VG2)","2022-Nov-13 02:20 ± < 00:01","1443003","1440793","12.28","12.26","26.3","15 m -   33 m","0"
"(2022 VV2)","2022-Nov-13 15:23 ± < 00:01","5145436","5142321","11.03","11.02","22.0","100 m -  230 m","1"
"(2022 VE)","2022-Nov-13 16:19 ±    00:03","4322530","4304509","9.61","9.60","25.3","23 m -   51 m","0"
"(2022 VL1)","2022-Nov-13 16:22 ± < 00:01","453684","453485","8.69","8.59","26.8","11 m -   26 m","0"
"(2022 UH16)","2022-Nov-14 01:55 ± < 00:01","5680730","5666507","9.77","9.76","26.1","16 m -   37 m","0"
"(2022 UP2)","2022-Nov-14 06:26 ± < 00:01","4073612","4072835","5.99","5.97","25.1","25 m -   56 m","0"
"(2022 VP2)","2022-Nov-14 15:25 ± < 00:01","2380910","2376080","12.94","12.93","26.5","13 m -   30 m","0"
"(2022 WC)","2022-Nov-14 16:58 ± < 00:01","723201","720737","28.30","28.28","26.4","14 m -   31 m","0"
"(2022 WL3)","2022-Nov-15 00:38 ± < 00:01","3341325","3295112","10.05","10.04","26.3","15 m -   33 m","0"
"(2022 WE1)","2022-Nov-15 11:40 ± < 00:01","3364486","3353816","4.61","4.58","27.2","9.7 m -   22 m","0"
"(2022 WT2)","2022-Nov-15 15:40 ± < 00:01","3557533","3498387","21.27","21.26","23.2","62 m -  140 m","1"
"(2022 WN)","2022-Nov-15 16:47 ± < 00:01","3999881","3986669","13.56","13.56","26.3","15 m -   33 m","0"
"(2022 VH2)","2022-Nov-15 21:18 ± < 00:01","3060104","3053338","5.58","5.56","26.6","12 m -   28 m","0"
